ImageID,original_firstorder_Minimum,wavelet-LLH_firstorder_Mean,wavelet-LHL_firstorder_Mean,wavelet-LHH_firstorder_Mean,wavelet-LHH_firstorder_Skewness,wavelet-HLL_firstorder_Mean,wavelet-HLH_firstorder_Mean,wavelet-HLH_firstorder_Skewness,wavelet-HHL_firstorder_Mean,wavelet-HHL_firstorder_Skewness,wavelet-HHL_glcm_Idmn,wavelet-HHH_firstorder_Mean,wavelet-HHH_firstorder_Skewness,wavelet-HHH_glcm_Idmn
UCSF-PDGM-0272_T2,0.0,-0.1323699791169384,-0.0046963541474681,0.0005693667452788,0.5519876368679455,3.208141209040534e-05,-8.51946796433938e-18,0.4004810450699653,-4.079043169664199e-18,0.8182144465140493,0.9995899737226752,-3.386741206041625e-18,-0.2280408944634874,0.999653697905568
UCSF-PDGM-0063_T2,0.0,-0.1818767243804489,-0.0857255044137815,-2.0003198003673965e-17,-0.7399506995463278,-0.0526078759371538,-1.9618320604805585e-17,0.0409066615228783,-7.335885981461903e-18,-0.3416659607340694,0.999845554189656,-1.4479134045296217e-18,1.0461800205032246,0.9998533246119432
UCSF-PDGM-0095_T2,0.0,-0.4281938660852225,-0.1298970847284732,-0.0001719448204368,0.3232314830734924,-0.0084560022992929,-7.117706321928652e-17,0.2394124189325145,-2.2324976253496745e-17,0.3884771893924675,0.9993771673149492,-9.184210540626744e-18,-0.2343557950020123,0.9996172743725816
UCSF-PDGM-0036_T2,0.0,-0.6593842700621252,-0.3922284905173099,0.0055138732516499,0.1311987819475316,-0.0001526408136663,8.421574096193468e-05,-0.3603862867629267,3.783595020130388e-05,0.4248613322469976,0.999554440784972,1.909271051695268e-07,0.6852184736640028,0.9996333244173244
UCSF-PDGM-0517_T2,0.0,-0.2013422338426134,-0.1577500086892735,0.0002796854368484,-0.0096126693049655,-0.0061206134006332,-2.994873758913645e-17,0.0714754579158944,-2.546754854584921e-17,0.3060211083562195,0.9993699323755244,-2.4545872725673496e-18,0.0094006829066565,0.9995157979620846
UCSF-PDGM-0152_T2,0.0,-0.4655139078877516,-0.3735739048631227,-0.0003168489275085,0.2132682488889148,-0.0674065124221576,-8.384654381360647e-05,0.2998207484390113,-5.928583239526255e-17,0.1787243502036751,0.9990484507295492,9.412634346739356e-19,0.1623531111130013,0.9993652348896565
UCSF-PDGM-0005_T2,0.0,-0.1442930748392356,0.0040210898049213,-0.0008510844194728,0.5920149550066354,9.850073394801889e-14,-1.7559158344571422e-18,-0.0407851488753366,-1.2731059996697664e-17,-0.1753281972472393,0.9995285044526488,-1.88995521113326e-18,0.0634190905041312,0.9995866127194372
UCSF-PDGM-0151_T2,0.0,-0.0530829643351166,-0.1212627144440402,-2.3523784369660265e-05,0.2764908028610787,6.237273349838631e-14,-8.442293742521561e-18,-0.1808273169238415,-8.447138460496831e-18,-0.4826561995486545,0.9997376649368312,5.23304075451863e-18,0.0647971331786879,0.9997549079400352
UCSF-PDGM-0453_T2,0.0,-0.4361063381144382,-0.1212177843091039,-3.5630783515318515e-17,0.1028318515356038,9.544935634779417e-14,-2.834063465703877e-17,0.0759651432244384,-2.4583358532616647e-17,0.2873195079163764,0.9993639051917786,6.0482800945876374e-18,0.0029587630242019,0.99944407556768
UCSF-PDGM-0424_T2,0.0,0.6336239622348747,-0.0676712962853231,-0.0015648596538361,-0.1139165323638954,-0.053730252289026,0.0005086381468968,-0.0519640449234973,-0.0001702748090309,0.0241006311449729,0.9994975959393512,-3.619830231813353e-07,0.225240262140011,0.9994450604856888
